Time (s) Run #1;Sound Wave (%) Run #1
0.4345;1.60795
0.435;-3.2995
0.4355;-3.8241
0.436;0.7936
0.4365;3.65145
0.437;0.40625
0.4375;-4.2816
0.438;-1.1645
0.4385;3.3129
0.439;2.3491
0.4395;-2.60715
0.44;-4.0254
0.4405;0.2141
0.441;3.60265
0.4415;0.9644
0.442;-4.3914
0.4425;-2.0063
0.443;2.7517
0.4435;2.61445
0.444;-2.21065
0.4445;-4.38835
0.445;-0.62465
0.4455;3.34035
0.446;-0.2434
0.4465;-4.3792
0.447;-2.7017
0.4475;2.21795
0.448;2.9164
0.4485;-1.6281
0.449;-4.5256
0.4495;-1.3414
0.45;3.5203
0.4505;0.56485
0.451;-3.96135
0.4515;-3.15005
0.452;1.69945
0.4525;3.197
0.453;-0.9998
0.4535;-4.40665
0.454;-0.3654
0.4545;3.2824
0.455;0.9583
0.4555;-3.8424
0.456;-3.818
0.4565;2.35825
0.457;2.53515
0.4575;-2.09475
0.458;-4.55915
0.4585;-1.03335
0.459;3.1177
0.4595;1.56525
0.46;-3.269
0.4605;-4.0498
0.461;2.00445
0.4615;3.07195
0.462;-1.38715
0.4625;-4.5256
0.463;-1.6281
0.4635;2.89505
0.464;2.2332
0.4645;-2.64375
0.465;-4.2938
0.4655;1.489
0.466;3.37085
0.4665;-0.56365
0.467;-4.2633
0.4675;-2.0185
0.468;2.81575
0.4685;2.9164
0.469;-1.83245
0.4695;-3.53435
0.47;1.11385
0.4705;3.6179
0.471;0.1409
0.4715;-3.99185
0.472;-2.63155
0.4725;2.2759
0.473;3.1604
0.4735;-1.32005
0.474;-4.001
0.4745;0.34525
0.475;3.52335
0.4755;-1.02115
0.476;-3.9095
0.4765;-3.26595
0.477;1.52255
0.4775;3.3068
0.478;-2.354
0.4785;-4.245
0.479;-0.46605
0.4795;3.3007
0.48;-0.4264
0.4805;-3.5435
0.481;-3.7509
0.4815;0.8912
0.482;2.7883
0.4825;-1.866
0.483;-4.5256
0.4835;-1.25905
0.484;2.9713
0.4845;1.611
0.485;-4.245
0.4855;-3.12565
0.486;0.15615
0.4865;3.0262
0.487;-1.24685
0.4875;-4.4768
0.488;-1.78365
0.4885;2.77915
0.489;2.282
0.4895;-3.7326
0.49;-3.50385
0.4905;1.3243
0.491;3.3373
0.4915;-0.44775
0.492;-4.2694
0.4925;-2.27165
0.493;2.49855
0.4935;2.8005
0.494;-3.21715
0.4945;-3.7326
0.495;0.66855
0.4955;3.43185
0.496;-1.561
0.4965;-4.10165
0.497;-2.9274
0.4975;1.8855
0.498;1.98615
0.4985;-2.8664
0.499;-3.22935
0.4995;-0.0482
0.5;3.37085
0.5005;0.7875
0.501;-3.7936
0.5015;-3.391
0.502;2.7578
0.5025;2.59005
0.503;-2.1344
0.5035;-4.21145
0.504;1.18705
0.5045;3.3434
0.505;1.54695
0.5055;-3.16835
0.506;-2.4455
0.5065;2.3308
0.507;3.0079
0.5075;-1.46645
0.508;-4.27245
0.5085;0.54045
0.509;3.0994
0.5095;0.46725
0.51;-3.87595
0.5105;-3.0799
0.511;1.6781
0.5115;3.0445
0.512;-1.0181
0.5125;-4.3975
0.513;-1.9392
0.5135;3.3312
0.514;1.08945
0.5145;-3.59535
0.515;-3.55875
0.5155;1.07725
0.516;3.22445
0.5165;-0.3471
0.517;-4.2877
0.5175;-0.8168
0.518;3.27325
0.5185;1.8001
0.519;-2.9945
0.5195;-3.71735
0.52;0.696
0.5205;3.54775
0.521;0.4825
0.5215;-4.33345
0.522;-1.4756
0.5225;2.8981
0.523;2.1966
0.5235;-2.6346
0.524;-4.24805
0.5245;-0.27085
0.525;3.18175
0.5255;0.7692
0.526;-4.55915
0.5265;-2.4272
0.527;2.17525
0.5275;2.2515
0.528;-2.3052
0.5285;-4.59575
0.529;-1.0364
0.5295;3.00485
0.53;-0.16715
0.5305;-4.2023
0.531;-2.76575
0.5315;3.075
0.532;2.9835
0.5325;-1.3658
0.533;-3.9095
0.5335;-1.3658
0.534;3.4715
0.5345;0.72955
0.535;-3.68075
0.5355;-3.04025
0.536;2.9225
0.5365;2.5687
0.537;-0.57585
0.5375;-4.0986
0.538;-0.1824
0.5385;3.54165
0.539;1.489
0.5395;-3.22935
0.54;-3.43675
0.5405;1.1291
0.541;2.90115
0.5415;-1.61285
0.542;-3.9705
0.5425;-1.00285
0.543;3.10855
0.5435;1.85195
0.544;-2.9457
0.5445;-3.9827
0.545;0.22935
0.5455;2.9652
0.546;-1.23465
0.5465;-4.4707
0.547;-1.8233
0.5475;2.6358
0.548;2.17525
0.5485;-2.50345
0.549;-4.27855
0.5495;-0.44775
0.55;3.07805
0.5505;-0.6338
0.551;-4.33955
0.5515;-2.4272
0.552;2.2393
0.5525;2.5138
0.553;-1.9941
0.5535;-4.45545
0.554;0.5313
0.5545;3.1299
0.555;-1.69825
0.5555;-4.1901
0.556;-3.025
0.5565;1.7391
0.557;2.82795
0.5575;-1.28955
0.558;-4.09555
0.5585;0.02805
0.559;3.29765
0.5595;0.76005
0.56;-4.31515
0.5605;-3.30255
0.561;1.38835
0.5615;3.2458
0.562;-2.15575
0.5625;-4.22365
0.563;-0.53315
0.5635;3.26105
0.564;1.46155
